acpid	1:2.0.10-1ubuntu3
adduser	3.113ubuntu2
anacron	2.3-14ubuntu1
apparmor	2.7.102-0ubuntu3.7
apt	0.8.16~exp12ubuntu10
apt-utils	0.8.16~exp12ubuntu10
apt-xapian-index	0.44ubuntu5
aptitude	0.6.6-1ubuntu1
at	3.1.13-1ubuntu1
base-files	6.5ubuntu6
base-passwd	3.5.24
bash	4.2-2ubuntu2
bash-completion	1:1.3-1ubuntu8
bind9-host	1:9.8.1.dfsg.P1-4
binutils	2.22-6ubuntu1
bridge-utils	1.5-2ubuntu7
bsdmainutils	8.2.3ubuntu1
bsdtar	3.0.3-6ubuntu1
bsdutils	1:2.20.1-1ubuntu3
build-essential	11.5ubuntu2.1
busybox-initramfs	1:1.18.5-1ubuntu4
bzip2	1.0.6-1
ca-certificates	20111211
cgroup-lite	1.1.2
cloud-utils	0.25-0ubuntu5
console-common	0.7.87
console-data	2:1.12-1
console-setup	1.70ubuntu5
coreutils	8.13-3ubuntu3
cpio	2.11-7ubuntu3
cpp	4:4.6.3-1ubuntu5
cpp-4.6	4.6.3-1ubuntu5
crda	1.1.2-1ubuntu1
cron	3.0pl1-120ubuntu3
cryptsetup	2:1.4.1-2ubuntu4
cryptsetup-bin	2:1.4.1-2ubuntu4
curl	7.22.0-3ubuntu4.1
dash	0.5.7-2ubuntu2
dbus	1.4.18-1ubuntu1
debconf	1.5.42ubuntu1
debconf-i18n	1.5.42ubuntu1
debconf-utils	1.5.42ubuntu1
debianutils	4.2.1ubuntu2
debootstrap	1.0.39ubuntu0.3
diffutils	1:3.2-1ubuntu1
dmidecode	2.11-4
dmsetup	2:1.02.48-4ubuntu7
dnsmasq-base	2.59-4ubuntu0.1
dnsutils	1:9.8.1.dfsg.P1-4
dpkg	1.16.1.2ubuntu7
dpkg-dev	1.16.1.2ubuntu7.1
e2fslibs	1.42-1ubuntu2
e2fsprogs	1.42-1ubuntu2
ecryptfs-utils	96-0ubuntu3
eject	2.1.5+deb1+cvs20081104-9
euca2ools	2.0.0~bzr516-0ubuntu3.1
fakeroot	1.18.2-1
file	5.09-2
findutils	4.4.2-4ubuntu1
firefox-locale-en	11.0+build1-0ubuntu4
ftp	0.17-25
g++	4:4.6.3-1ubuntu5
g++-4.6	4.6.3-1ubuntu5
gcc	4:4.6.3-1ubuntu5
gcc-4.6	4.6.3-1ubuntu5
gcc-4.6-base	4.6.3-1ubuntu5
geoip-database	20111220-1
gettext-base	0.18.1.1-5ubuntu3
git	1:1.7.9.5-1
git-core	1:1.7.9.5-1
git-man	1:1.7.9.5-1
gnupg	1.4.11-3ubuntu2
golang	2:1-5
golang-doc	2:1-5
golang-go	2:1-5
golang-src	2:1-5
gpgv	1.4.11-3ubuntu2
grep	2.10-1
groff-base	1.21-7
grub	0.97-29ubuntu66
grub-common	1.99-21ubuntu3
gzip	1.4-1ubuntu2
hostname	3.06ubuntu1
ifupdown	0.7~beta2ubuntu8
info	4.13a.dfsg.1-8ubuntu2
initramfs-tools	0.99ubuntu13
initramfs-tools-bin	0.99ubuntu13
initscripts	2.88dsf-13.10ubuntu11
insserv	1.14.0-2.1ubuntu2
install-info	4.13a.dfsg.1-8ubuntu2
installation-report	2.46ubuntu1
iproute	20111117-1ubuntu2
iptables	1.4.12-1ubuntu4
iputils-ping	3:20101006-1ubuntu1
isc-dhcp-client	4.1.ESV-R4-0ubuntu5
isc-dhcp-common	4.1.ESV-R4-0ubuntu5
iso-codes	3.31-1
iw	3.2-1
kbd	1.15.2-3ubuntu4
keyboard-configuration	1.70ubuntu5
keyutils	1.5.2-2
klibc-utils	1.5.25-1ubuntu2
